Total Average Response Time,Requests/s
34.743236842144285,0.000000
52.73705243903129,0.000000
68.67129444445136,38.000000
81.42284642857763,54.666667
93.79923914027061,66.750000
110.35029621212695,72.600000
128.4071168769751,73.333333
142.5840255910954,75.142857
158.35258991389972,79.000000
176.26044209379242,79.666667
187.68502977692177,80.600000
200.07462557118168,90.500000
214.4497534400019,94.800000
227.6886341678927,96.500000
235.8733620759795,97.700000
251.37450731086983,97.900000
260.2496054991019,102.100000
271.8993650166876,103.200000
284.19467774311653,102.900000
295.9185206069555,105.900000
306.20304645040295,109.200000
320.47999893333593,111.900000
334.0851115820438,108.800000
346.4985686998431,108.700000
359.83878119230974,111.300000
369.80185876060574,112.700000
383.73178435060385,111.000000
397.8697206252115,112.900000
406.3995770297007,113.000000
420.833452206806,112.500000
426.7370075275348,111.800000
435.99231834971283,111.000000
447.7927088997655,112.500000
458.55107747145337,110.800000
473.2955655507535,107.100000
485.3401804347813,108.900000
496.9828112382388,108.400000
507.57818874351875,108.600000
512.0460648264202,109.000000
518.3203747948402,110.400000
530.9447166326287,108.400000
540.6713602444439,107.700000
557.9882306827993,108.800000
571.843299407029,113.500000
583.64497071914,114.200000
593.5682923954345,111.900000
602.516219710029,112.900000
613.161419619886,114.400000
621.5251428463974,115.800000
631.9398441706493,113.900000
635.3064689835694,115.100000
649.1154387595509,115.400000
660.0907084411033,114.900000
677.3644670471963,110.600000
687.6657046600964,107.900000
